area,depth
165690,1.26369866393361e-06
228336,1.8054104202747112e-06
228144,1.565562797622988e-06
241020,1.5109823152670288e-06
220070,1.6359418850697693e-06
226116,1.1551002216947381e-06
228660,1.1807703685917659e-06
225071,1.1652226703517954e-06
216258,1.198807694891002e-06
220320,1.150840489572147e-06
218688,1.1806143902504118e-06
216140,1.206277374876663e-06
222498,1.1138573654534412e-06
216423,1.1072096413045074e-06
217875,1.0783697916849633e-06
216215,1.0217814860880026e-06
219032,1.022750780066417e-06
209272,9.374963951813697e-07
216522,9.867810604191618e-07
210308,9.109822940445156e-07
214725,9.448926903132815e-07
202002,8.984603709905059e-07
200583,8.141762464219937e-07
200704,8.400901947425155e-07
194661,8.132825541906641e-07
193536,8.232395316554175e-07
185598,7.960369998727401e-07
184730,8.357266096936655e-07
173118,7.520503118030319e-07
165396,7.430696200572129e-07
30968,4.204118795314571e-07
27824,3.173389870880783e-07
26640,3.0832066499897337e-07
26825,3.171394382661674e-07
25020,2.984604918765399e-07
24881,2.927671118868602e-07
24072,2.9496268894035893e-07
23936,2.9362425379986234e-07
21504,2.7383973133510153e-07
20172,2.813327171224955e-07
20212,2.851928684322047e-07
19520,2.5943288051166746e-07
19398,2.8867935952803236e-07
18445,2.460118082581175e-07
18445,2.665950944447104e-07
17020,2.4526352149223385e-07
15805,2.233201428225584e-07
15950,2.363751860912089e-07
15052,2.201148987523993e-07
15087,2.2348292816332105e-07
14214,2.162806964634001e-07
14352,2.2694206336382194e-07
13400,2.2029162494163756e-07
12480,1.9346552448951115e-07
12288,1.9736292244942888e-07
12160,1.9913369442292606e-07
12160,1.9820589614027995e-07
11532,1.6739616626182396e-07
11374,1.698789446891169e-07
11346,1.8402150203655765e-07
11346,1.8481263452940766e-07
11253,1.8648542265964352e-07
10738,1.7069713464934466e-07
10092,1.7915577643634606e-07
9976,1.6568343141898367e-07
10092,1.64842134608989e-07
9296,1.423628646080033e-07
9213,1.6257338586456171e-07
8938,1.3304098445132695e-07
8829,1.6143121683853678e-07
8829,1.6319486917382164e-07
8640,1.3206559401623963e-07
8532,1.498002433208967e-07
8374,1.3015375088798464e-07
8374,1.4737199194314599e-07
8374,1.4991894659033278e-07
